file_name,method_name,line_count,complexity,code_smell_detected
multi_worker_test_base.py,__init__,55,1,True
multi_worker_test_base.py,start,26,6,False
multi_worker_test_base.py,stop,13,4,False
multi_worker_test_base.py,kill_task,14,4,False
multi_worker_test_base.py,start_task,21,4,False
multi_worker_test_base.py,cluster_resolver,2,1,False
multi_worker_test_base.py,setUpClass,5,1,False
multi_worker_test_base.py,setUp,6,1,False
multi_worker_test_base.py,session,21,2,False
multi_worker_test_base.py,cached_session,27,3,False
multi_worker_test_base.py,_create_config,12,2,False
multi_worker_test_base.py,_run_client,13,2,False
multi_worker_test_base.py,_run_between_graph_clients,23,3,False
multi_worker_test_base.py,setUpClass,2,1,False
multi_worker_test_base.py,setUp,4,1,False
multi_worker_test_base.py,cached_session,2,1,False
multi_worker_test_base.py,__enter__,2,1,False
multi_worker_test_base.py,__exit__,2,1,False
multi_worker_test_base.py,__init__,4,1,False
multi_worker_test_base.py,get,7,3,False
multi_worker_test_base.py,__getitem__,7,3,False
multi_worker_test_base.py,__setitem__,7,3,False
multi_worker_test_base.py,__iter__,7,4,False
multi_worker_test_base.py,__len__,4,2,False
multi_worker_test_base.py,_make_mock_run_std_server,16,1,False
multi_worker_test_base.py,setUp,9,1,False
multi_worker_test_base.py,tearDown,3,1,False
multi_worker_test_base.py,_task_thread,12,2,False
multi_worker_test_base.py,_run_task_in_thread,41,3,True
multi_worker_test_base.py,run_multiple_tasks_in_threads,11,3,False
multi_worker_test_base.py,join_independent_workers,3,1,False
multi_worker_test_base.py,_run_task_in_process,11,1,False
multi_worker_test_base.py,run_multiple_tasks_in_processes,10,3,False
multi_worker_test_base.py,join_independent_workers,14,4,False
multi_worker_test_base.py,stream_stderr,35,5,True
multi_worker_test_base.py,task_function,40,2,True
multi_worker_test_base.py,wrapped_client_fn,3,1,False
multi_worker_test_base.py,_mock_run_std_server,12,2,False
multi_worker_test_base.py,_stream_stderr_single_process,10,6,False
save_util_v1.py,get_checkpoint_factories_and_keys,51,6,True
save_util_v1.py,_add_attributes_to_object_graph,22,3,False
save_util_v1.py,_add_attributes_to_object_graph_for_registered_savers,13,3,False
save_util_v1.py,generate_saveable_objects,102,26,True
save_util_v1.py,_fill_object_graph_proto,16,4,False
save_util_v1.py,serialize_gathered_objects,35,3,True
save_util_v1.py,serialize_object_graph_with_registered_savers,3,1,False
save_util_v1.py,frozen_saveables_and_savers,21,2,False
checkpoint_metrics_test.py,_get_write_histogram_proto,5,1,False
checkpoint_metrics_test.py,_get_read_histogram_proto,5,1,False
checkpoint_metrics_test.py,_get_time_saved,2,1,False
checkpoint_metrics_test.py,_get_checkpoint_size,2,1,False
checkpoint_metrics_test.py,test_metrics_v2,27,2,False
checkpoint_metrics_test.py,test_metrics_v1,29,2,False
cross_device_utils_test.py,_assert_values_equal,4,1,False
cross_device_utils_test.py,testAggregateTensors,6,1,False
